Date : 2023-04-27 14:15:38
Directory : /Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test
Total : 195 files,  -19699 codes, -4260 comments, -4175 blanks, all -28134 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          1 |         -8 |          0 |          0 |         -8 |
| Draw.io    |          1 |        -22 |          0 |          0 |        -22 |
| TypeScript |        193 |    -19,669 |     -4,260 |     -4,175 |    -28,104 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                     |        195 |    -19,699 |     -4,260 |     -4,175 |    -28,134 |
| ..                                                                                                                                                                                    |        178 |    -23,211 |     -4,573 |     -4,603 |    -32,387 |
| ../src                                                                                                                                                                                |        178 |    -23,211 |     -4,573 |     -4,603 |    -32,387 |
| ../src (Files)                                                                                                                                                                        |          2 |        -18 |          0 |         -2 |        -20 |
| ../src/2DgraphicsItems                                                                                                                                                                |          7 |       -255 |        -33 |        -68 |       -356 |
| ../src/bezierCurves                                                                                                                                                                   |          1 |        -95 |          0 |        -11 |       -106 |
| ../src/bsplineOptimizationProblems                                                                                                                                                    |          5 |     -2,073 |       -373 |       -333 |     -2,779 |
| ../src/bsplines                                                                                                                                                                       |          8 |          0 |     -1,042 |       -183 |     -1,225 |
| ../src/chartcontrollers                                                                                                                                                               |          9 |       -870 |         -1 |       -146 |     -1,017 |
| ../src/containers                                                                                                                                                                     |          7 |       -644 |          0 |        -84 |       -728 |
| ../src/controllers                                                                                                                                                                    |         12 |     -5,141 |       -780 |       -673 |     -6,594 |
| ../src/curveShapeSpaceAnalysis                                                                                                                                                        |         12 |       -886 |        -43 |       -183 |     -1,112 |
| ../src/curveShapeSpaceNavigation                                                                                                                                                      |         10 |     -2,223 |       -256 |       -394 |     -2,873 |
| ../src/designPatterns                                                                                                                                                                 |          6 |        -28 |        -15 |        -24 |        -67 |
| ../src/errorProcessing                                                                                                                                                                |          1 |        -28 |          0 |         -8 |        -36 |
| ../src/filecontrollers                                                                                                                                                                |          1 |        -68 |         -2 |        -12 |        -82 |
| ../src/linearAlgebra                                                                                                                                                                  |          7 |       -535 |       -328 |       -114 |       -977 |
| ../src/mathVector                                                                                                                                                                     |          5 |       -163 |        -23 |        -74 |       -260 |
| ../src/mathematics                                                                                                                                                                    |          5 |       -606 |       -291 |       -163 |     -1,060 |
| ../src/models                                                                                                                                                                         |          3 |       -388 |       -220 |        -95 |       -703 |
| ../src/newBsplines                                                                                                                                                                    |         25 |     -3,288 |       -363 |       -797 |     -4,448 |
| ../src/newDesignPatterns                                                                                                                                                              |          2 |        -19 |          0 |        -10 |        -29 |
| ../src/newModels                                                                                                                                                                      |         12 |       -598 |       -281 |       -228 |     -1,107 |
| ../src/optimizationProblemFacade                                                                                                                                                      |          1 |        -15 |        -42 |        -19 |        -76 |
| ../src/sequenceOfDifferentialEvents                                                                                                                                                   |          9 |     -1,588 |       -151 |       -245 |     -1,984 |
| ../src/shapeNavigableCurve                                                                                                                                                            |          4 |       -563 |         -8 |       -102 |       -673 |
| ../src/userInterfaceController                                                                                                                                                        |          1 |       -950 |        -79 |       -163 |     -1,192 |
| ../src/views                                                                                                                                                                          |         21 |     -2,041 |       -120 |       -440 |     -2,601 |
| ../src/webgl                                                                                                                                                                          |          2 |       -128 |       -122 |        -32 |       -282 |
| bsplineOptimizationProblems                                                                                                                                                           |          1 |        382 |         78 |         98 |        558 |
| containers                                                                                                                                                                            |          4 |        981 |          4 |         82 |      1,067 |
| controllers                                                                                                                                                                           |          3 |        105 |         15 |         11 |        131 |
| curveShapeSpaceNavigation                                                                                                                                                             |          1 |          4 |        100 |          2 |        106 |
| mathVector                                                                                                                                                                            |          1 |         14 |          0 |          4 |         18 |
| newBsplines                                                                                                                                                                           |          2 |        264 |         11 |         41 |        316 |
| sequenceOfDifferentialEvents                                                                                                                                                          |          5 |      1,762 |        105 |        190 |      2,057 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                              | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
